LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
"Rivet Nut 10-24, Thin Material, .020""-.130""",95105A127,A,12.00,EA,,,Fastener,C,1%,C,"$63,861",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 10-24 Internal Thread, .020""-.130"" Material Thk",CAL2-1024-130,EA,800,,,,,,,,,,,,
"Rivet Nut 10-24, Thick Material, .130""-.225""",95105A131,A,12.00,EA,,,Fastener,C,1%,C,"$63,793",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 10-24 Internal Thread, .130""-.225"" Material Thk",CAL2-1024-225,EA,800,,,,,,,,,,,,
"Rivet Nut 1/4""-20, Thin Material, .027""-.165""",95105A143,A,12.00,EA,,,Fastener,C,1%,C,"$63,744",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 1/4""-20 Internal Thread, .027""-.165"" Material Thk",CAL2-1420-165,EA,800,,,,,,,,,,,,
"Rivet Nut 1/4""-20, Thick Material, .165""-.260""",95105A147,A,12.00,EA,2.0,,Fastener,C,1%,C,"$63,603",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 1/4""-20 Internal Thread, .165""-.260"" Material Thk",CAL2-1420-260,EA,800,,,,,,,,,,,,
"Rivet Nut 5/16""-18, Thin Material, .027""-.150",95105A151,A,12.00,EA,2.0,,Fastener,C,1%,C,"$63,525",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 5/16""-18 Internal Thread, .027""-.150"" Material Thk",CAL2-3118-150,EA,800,,,,,,,,,,,,
"Rivet Nut 5/16""-18, Thick Material, .150""-.312""",95105A155,A,12.00,EA,2.0,,Fastener,C,1%,C,"$63,358",99%,,SG Supply,"Zinc-plated Steel Open-end Knurled Rivet Nut 5/16""-18 Internal Thread, .150""-.312"" Material Thk",CAL2-3118-312,EA,800,,,,,,,,,,,,
"Lock nut, 10-24, SS, Nylon",91831A011,A,30.00,EA,2.0,,Fastener,C,1%,C,"$64,024",100%,,SG Supply,"18-8 Stainless Steel Nylon-insert Hex Locknut10-24 Thread Size, 3/8"" Width, 15/64"" Height",10NS188,EA,1800,,,,,,,,,,,,
1/4-20 x 3/4 Hex Flange Bolt Gr8 Zinc,1412BFZ,A,20.00,EA,3.0,,Fastener,,,,,,,SG Supply,1/4-20 x 3/4 Hex Flange Bolt Gr8 Zinc,1412BFZ,EA,1500,,,,,,,,,,,,
1/4-20 x 1 Hex Flange Bolt Gr8 Zinc,1416BFZ,A,20.00,EA,3.0,,Fastener,,,,,,,SG Supply,1/4-20 x 1 Hex Flange Bolt Gr8 Zinc,1416BFZ,EA,500,,,,,,,,,,,,
"Washer, SS, 5/16""IDx3/4""OD",93852A102,A,30.00,EA,2.0,,Fastener,C,1%,C,"$63,822",99%,,SG Supply,"Washer, SS, 5/16""IDx3/4""OD",31WC188,EA,1800,McMaster-Carr,"Washer, SS, 5/16""IDx3/4""OD",93852A102,,,,,,,,,
"3/8""-16 Mechanical Locknut",80929,A,2.00,EA,2.0,,Fastener,C,1%,,"$64,202",100%,,SG Supply,"3/8""-16 Mechanical Locknut",37NO,EA,500,Lawson Products,"3/8""-16 Mechanical Locknut",80929,,,,,,,,,
"5/16""-18 SS Locknut, Nylon",ST026-51618,A,24.00,EA,2.0,,Fastener,C,1%,C,"$63,785",99%,,SG Supply,"5/16""-18 SS Locknut, Nylon, box 1000ea",31NS188,EA,1500,Aspen Fasteners,"5/16""-18 SS Locknut, Nylon, box 1000ea",ST026-51618,0,,,,,,,,
"Hex Head, 17mm Washer, M6-1.0x20mm)(Radiator mount & body panel clips)",12693,A,8.00,EA,,Aveco,Fastener,,,,,,,SG Supply,"M6-1.0 x20,Hex Head, 17mm Washer",DIS5684,EA,50,,,,,,,,,,,,
"5/16""-18x3/4"" Flange Bolt",51935,A,4.00,EA,2.0,,Fastener,C,1%,C,"$64,018",100%,,SG Supply ,"5/16""-18x3/4"" Flange Bolt",3112MWW,EA,300,Lawson Products,"5/16""-18x3/4"" Flange Bolt",51935,,,,,,,,,
"5/16""-18x1"" Flange Bolt",51936,A,5.00,EA,2.0,,Fastener,C,1%,,"$64,202",100%,,SG Supply ,"5/16""-18x1"" Flange Bolt",3116MWW,EA,300,Lawson Products,"5/16""-18x1"" Flange Bolt",51936,,,,,,,,,
"5/16""-18x1.25"" Flange Bolt",51937,A,4.00,EA,2.0,,Fastener,C,1%,C,"$64,068",100%,,SG Supply ,"5/16""-18x1.25"" Flange Bolt",3120MWW,EA,300,Lawson Products,"5/16""-18x1.25"" Flange Bolt",51937,,,,,,,,,
"3/8""-16x1.5"" Flange Bolt",86395,A,4.00,EA,2.0,,Fastener,C,1%,C,"$63,885",100%,,SG Supply ,"3/8""-16x1.5"" Flange Bolt",3724BF  ,EA,700,Lawson Products,"3/8""-16x1.5"" Flange Bolt",86395,,,,,,,,,
"10-24 x 3/4""   Socket Head SS",,A,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-24 x 1""   Socket Head SS",,A,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,
"Self-compensate Clamp, (large coolant port at RH motor side)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"Self-compensate Clamp, (all other main coolant line joints)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"Self-compensate Clamp, (reservoir return line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"Self-compensate Clamp, (heater core lines)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"Self-compensate Clamp, (Brake booster)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"14.8mm 360deg Clamp, (for 3/8 Nylon FI QC)",HY126,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"360degree Clamp,)fuel line, etc.)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"11.3mm 360deg Hose Clamp, (5/16"" Nylon Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"12.3mm 360deg Hose Clamp, (M10 Nylon Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"15.7mm 360deg Hose Clamp, (5/16"" Rubber Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"18.5mm 360deg Hose Clamp, (3/8"" Rubber Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"22.6mm 360deg Hose Clamp, (1/2"" rubber Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"25.6mm 360deg Hose Clamp, (5/8"" Rubber Line)",,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
48.5mm 360deg Hose Clamp(fuel filler neck to tank),,,1.00,EA,,,Fastener,,,,,,,,,,,,,,,,,,,,,,,
"3/8"" - 90° Elbow Quick Connector to 10mm Nylon Fuel Line",3154C,A,2.00,EA,,FMSI,Fuel,B,3%,C,"$62,332",97%,,FMSI Automotive Hardware,"3/8"" - 90° Elbow Quick Connector to 10mm Nylon Fuel Line",3154C,,1,,,,,,,,,,,,
"5/16"" Straight Quick Connector to 8mm/ 5/16"" Nylon Fuel Line",2965,A,2.00,EA,,FMSI,Fuel,B,3%,C,"$62,464",97%,,FMSI Automotive Hardware,"5/16"" Straight Quick Connector to 8mm/ 5/16"" Nylon Fuel Line",2965,,1,,,,,,,,,,,,
"5/8"" - 45° Elbow Quick Connector to 5/8"" Tubing",3316,A,2.00,EA,,FMSI,Fuel,B,3%,C,"$63,769",99%,,FMSI Automotive Hardware,"5/8"" - 45° Elbow Quick Connector to 5/8"" Tubing",3316,,1,,,,,,,,,,,,
"5/16""/8mm Nylon Fuel Line",2962-100,A,12.00,FT,,FMSI,Fuel,B,3%,C,"$63,216",98%,,FMSI Automotive Hardware,"5/16""/8mm Nylon Fuel Line",2962-100,ft,1,,,,,,,,,,,,
10mm Nylon Fuel Line,2963-100,A,9.00,FT,,FMSI,Fuel,B,3%,C,"$63,182",98%,,FMSI Automotive Hardware,10mm Nylon Fuel Line,2963-100,ft,1,,,,,,,,,,,,
"5/16"" 90° Elbow Quick Connector to 8mm 5/16"" Nylon Fuel Line(connects to purge cylinder at engine)",2964,A,3.00,EA,,FMSI,Fuel,B,3%,C,"$63,777",99%,,FMSI Automotive Hardware,"5/16"" 90° Elbow Quick Connector to 8mm 5/16"" Nylon Fuel Lin",2964,EA,1,,,,,,,,,,,,
"3/8"" straight  Quick Connector 10 MM Nylon Fuel Line ",2967,A,2.00,EA,,FMSI,Fuel,B,103%,C,"$63,778",199%,,FMSI Automotive Hardware,"3/8"" straight  Quick Connector 10 MM Nylon Fuel Line ",2967,EA,1,,,,,,,,,,,,
"Male End for Quick Connector 3/8"" x 36""",3150,A,1.00,EA,,FMSI,Fuel,B,203%,C,"$63,779",299%,,FMSI Automotive Hardware,"Male End for Quick Connector 3/8"" x 36""",3150,EA,1,,,,,,,,,,,,
"Male End for Quick Connector 5/16"" x 36""",3151,A,1.00,EA,,FMSI,Fuel,B,303%,C,"$63,780",399%,,FMSI Automotive Hardware,"Male End for Quick Connector 5/16"" x 36""",3151,EA,1,,,,,,,,,,,,
"5/16"" Straight Quick Connector to 8mm/ 5/16"" Nylon Fuel Line",2965,A,2.00,EA,,FMSI,Fuel,B,403%,C,"$63,781",499%,,FMSI Automotive Hardware,"5/16"" Straight Quick Connector to 8mm/ 5/16"" Nylon Fuel Line",2965,EA,1,,,,,,,,,,,,
"Worm-Drive Hose Clamp W/Zinc-Pltd STL Screw 1-1/16"" to 2"" Clamp Dia Range, 1/2"" Band Width",5415K17,01,2.00,EA,,,Fuel,,,,,,,McMaster-Carr,"Worm-Drive Hose Clamp W/Zinc-Pltd STL Screw 1-1/16"" to 2"" Clamp Dia Range, 1/2"" Band Width",5415K17,EA,10,,,,,,,,,,,,
"3/8""-1/2"" Plastic Reducer, (fuel vapor lines and booster vacuum lines)",NBH-9909,A,3,EA,,Napa,Fuel,B,0.03,C,63256.99742,0.9852825318,,"Napa, Mel's Auto",?,NBH-9909,,1,,,,,,,,,,,,
"5/16"" Fuel Vapor Hose",NBH-H176,A,1.50,FT,,Napa,Fuel,B,3%,C,"$64,089",100%,,"Napa, Mel's Auto","Fuel Line / PCV / EEC Hose, 25'; .3125""; 8 mm; 50 psi ",NBH-H176,,1,,,,,,,,,,,,
"3/8"" Fuel Vapor Hose, (fuel vapor lines and booster vacuum)",NBH-H177,A,1.50,FT,,Napa,Fuel,B,3%,C,"$64,085",100%,,"Napa, Mel's Auto","Fuel Line / PCV / EEC Hose, Hose; 25'; .375""; 9.5 mm; 50 psi ",NBH-H177,,1,,,,,,,,,,,,
"1/2"" Fuel Vapor Hose",NBH-H178,A,5.00,FT,,Napa,Fuel,B,3%,C,"$63,453",99%,,"Napa, Mel's Auto","Fuel Line / PCV / EEC Hose, Hose; 25'; .5""; 12.7 mm; 35 psi ",NBH-H178,,1,,,,,,,,,,,,
"5/8"" Fuel Vapor Hose",NBH-H183,A,1.00,FT,,Napa,Fuel,B,3%,C,"$64,088",100%,,"Napa, Mel's Auto","Fuel Line / PCV / EEC Hose, 25'; .625""; 15.9 mm; 35 psi ",NBH-H183,,1,,,,,,,,,,,,
Fuel Tank,2585362,A,1.00,EA,4.0,GM,Fuel,,,A,,,,Thorobred,Fuel Tank,2585362,,,,,,,,,,,,,,
Hose,15103955,A,1.00,EA,4.0,GM,Fuel,,,B,,,,Thorobred,Hose,15103955,,,,,,,,,,,,,,
Fuel Tank Straps,15288145,A,2.00,EA,4.0,GM,Fuel,,,C,,,,Thorobred,Straps,15288145,,,,,,,,,,,,,,
Fuel Pump/Sending Unit,19168425,A,1.00,EA,4.0,GM,Fuel,,,B,,,,Thorobred,Fuel Pump/Sending Unit,19168425,,,,,,,,,,,,,,
CAM,10325852,A,1.00,EA,4.0,GM,Fuel,,,C,,,,Thorobred,CAM,10325852,,,,,,,,,,,,,,
Module Kit,19206574,A,1.00,EA,4.0,GM,Fuel,,,A,,,,Thorobred,Module Kit,19206574,,,,,,,,,,,,,,
Cover  ,20893611,A,1.00,EA,4.0,GM,Fuel,,,C,,,,Thorobred,Cover,20893611,,,,,,,,,,,,,,
Pipe,20962111 (Old  pn 20918330),A,1.00,EA,4.0,GM,Fuel,,,B,,,,Thorobred,Pipe,20962111,,1,,,,,,,,,,,,
Hose  (Vapor),25853662,A,1.00,EA,4.0,GM,Fuel,,,B,,,,Thorobred,Hose,25853662,,1,,,,,,,,,,,,
Hose  (Vapor),25853664,A,1.00,EA,4.0,GM,Fuel,,,C,,,,Thorobred,Hose,25853664,,1,,,,,,,,,,,,
Gas Cap ,15763227 (Old pn 20915842),A,1.00,EA,4.0,GM,Fuel,,,C,,,,Thorobred,Gas Cap ,15763227,,1,,,,,,,,,,,,
Drop glass bottom seal (747mm each strip),PCF-671,A,4.00,EA,16.0,Burkool,Glass,C,1%,C,"$63,472",99%,,Burkool,Flocked lining seal,PCF-671,,1000,,,,,,,,,,,,
LHFront Drop Glass Track Extrusion     (Type 2 clear),RFN-6005-102,A,1.00,EA,8.0,,Glass,C,1%,C,"$60,939",95%,,Electrolurgy,LHFront Drop Glass Track    (Type 2 clear),RFN-6005-102,EA,100,,,,,,,,,,,,
LHRear Drop Glass Track Extrusion NEW (No coating),RFN-6005-103,A,1.00,EA,8.0,,Glass,,,,,,,Electrolurgy,LHRear Drop Glass Track/NEW  (Type 2 clear),RFN-6005-103,EA,100,,,,,,,,,,,,
RHFront Drop Glass Track Extrusion    (Type 2 clear),RFN-6005-104,A,1.00,EA,8.0,,Glass,C,1%,C,"$60,989",95%,,Electrolurgy,RHFront Drop Glass Track    (Type 2 clear),RFN-6005-104,EA,100,,,,,,,,,,,,
RHRear Drop Glass Track Extrusion /NEW   ( No coating),RFN-6005-105,A,1.00,EA,8.0,,Glass,,,,,,,Electrolurgy,RHRear Drop Glass Track/NEW     (Type 2 clear),RFN-6005-105,EA,100,,,,,,,,,,,,
"1/4""x0.28"" PVC Foam Tape",,01,20.50,FT,4.0,Lamatek,Glass,C,1%,C,"$64,056",100%,,Lamatek,"1/4""x0.28"" #7 PVC Foam Tape w/acrylic adhesive",,,,,,,,,,,,,,,
"1/8""x0.75"" PVC Foam Tape",,01,6.00,FT,4.0,Lamatek,Glass,C,1%,C,"$63,576",99%,,Lamatek,"1/8""x0.75"" #7 PVC Foam Tape w/acrylic adhesive",,,,,,,,,,,,,,,
"1/16""x0.25"" PVC Foam Tape",,01,6.00,FT,4.0,Lamatek,Glass,C,1%,C,"$64,198",100%,,Lamatek,"1/16""x0.28"" #7 PVC Foam Tape w/acrylic adhesive",,,,,,,,,,,,,,,
"1/16""x0.75"" PVC Foam Tape",,01,20.00,FT,4.0,Lamatek,Glass,C,1%,C,"$64,062",100%,,Lamatek,"1/16""x0.75"" #7 PVC Foam Tape w/acrylic adhesive",,,,,,,,,,,,,,,
"1/16""x1.5"" PVC Foam Tape",,01,16.00,FT,4.0,Lamatek,Glass,C,1%,C,"$63,978",100%,,Lamatek,"1/16""x1.5"" #7 PVC Foam Tape w/acrylic adhesive",,,,,,,,,,,,,,,
"Front Window, 5.3mm",7901-02-23,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,B,"$57,671",90%,,Confidential Local Motors,"Front Window, 5.3mm",7901-02-23,EA,50,,,,,,,,,,,,
"Rear Window, 5.0mm",7901-02-24,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,B,"$57,726",90%,,Confidential Local Motors,"Rear Window, 5.0mm",7901-02-24,EA,50,,,,,,,,,,,,
"LH Front Quarter Window, 4.8mm",7901-02-25,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$62,270",97%,,Confidential Local Motors,"LH Front Quarter Window, 4.8mm",7901-02-25,EA,50,,,,,,,,,,,,
"RH Front Quarter Window, 4.8mm",7901-02-26,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$62,286",97%,,Confidential Local Motors,"RH Front Quarter Window, 4.8mm",7901-02-26,EA,50,,,,,,,,,,,,
"LH Side Drop Window, 4.8mm",7901-02-27,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$61,349",96%,,Confidential Local Motors,"LH Side Drop Window, 4.8mm",7901-02-27,EA,50,,,,,,,,,,,,
"RH Side Drop Window, 4.8mm",7901-02-28,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$61,373",96%,,Confidential Local Motors,"RH Side Drop Window, 4.8mm",7901-02-28,EA,50,,,,,,,,,,,,
"LH Rear Quarter Window, 4.0mm",7901-02-29,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$62,615",98%,,Confidential Local Motors,"LH Rear Quarter Window, 4.0mm",7901-02-29,EA,50,,,,,,,,,,,,
"RH Rear Quarter Window, 4.0mm",7901-02-30,A,1.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$62,628",98%,,Confidential Local Motors,"RH Rear Quarter Window, 4.0mm",7901-02-30,EA,50,,,,,,,,,,,,
Blind Spot Convex Mirror,AGL001-001,A,2.00,EA,12.0,Pan Taiwan,Glass,C,1%,C,"$64,169",100%,Prep,Confidential Local Motors,Blind Spot Mirror,AGL001-001,EA,20,,,,,,,,,,,,
"Window Extrusions Aluminum (Raw, 20' lengths)",RFN-6005-132,A,14.00,FT,8.0,,Glass,,,,,,,Paramount Extrusions,"Window Extrusions Aluminum (Raw, 20' lengths)",RFN-6005-132,FT,"1,000",,,,,,,,,,,,
"Drop glass side seal 8' lengths (30.5"" & 14""per track per both side,  Interior door handles)",75000639,A,2.00,EA,8.0,StanPro,Glass,C,1%,C,"$63,421",99%,,StanPro,"Unbeaded Window Channel, 96"" (AS1268) Flexible Flocked Lining, All-Rubber, 25pcs.",75000639,,,,,,,,,,,,,,
"Front quarter window seal (29"" per window approx.)",75001835,A,6.00,FT,8.0,StanPro,Glass,C,1%,C,"$63,560",99%,,StanPro,"3"" Wide Rubber Glass Setting Tape, 1/16"" Thick",75001835,,,,,,,,,,,,,,
Flush Slide Latch,A3-99-122-12,A,1.00,EA,6.0,?,Hinge/Latches,,,C,,,,Allegis Corporation,Flush Slide Latch,A3-99-122-12,EA,30,,,,,,,,,,,,
Door Check,4L3Z-1827204-AA,A,2.00,EA,12.0,Ford,Hinge/Latches,,,B,,,,Ford Component Sales,Door Check,4L3Z-1827204-AA,EA,100,Chapman Ford,Door Check ,4L3Z-1827204-AA,,,,,,,,,
LH Trunk Hinge,8S4Z-5442701-A,A,1.00,EA,4.4,Ford,Hinge/Latches,B,2%,B,"$59,763",93%,Prep,Ford Component Sales,Hinge- Lu,8S4Z-5442701-A,EA,20,,,,,,,,,,,1.36,
RH Trunk Hinge,8S4Z-5442700-A,A,1.00,EA,4.4,Ford,Hinge/Latches,B,2%,B,"$59,800",93%,Prep,Ford Component Sales,Hinge- Lu,8S4Z-5442700-A,EA,20,,,,,,,,,,,1.36,
Trunk Latch ,8S4Z-5443200-B,A,1.00,EA,8.6,Ford,Hinge/Latches,B,2%,B,"$58,846",92%,Prep,Ford Component Sales,Lock Asy,8S4Z-5443200-B,EA,1,,,,,,,,,,,0.74,
Trunk Striker,8S4Z-5443252-A,A,1.00,EA,3.4,Ford,Hinge/Latches,B,2%,C,"$61,865",96%,,Ford Component Sales,Plate - Do,8S4Z-5443252-A,EA,1,,,,,,,,,,,0.61,
"Alum .090""  x 48""  x48""  6061",,A,0.20,EA,1.0,,Hinge/Latches,,,,,,,Industrial Metal Supply,"Alum .090""  x 48""  x48""  6061",,EA,1,,,,,,,,,,,,
Hood latch,9111ZP,A,2.00,EA,,Jingmays,Hinge/Latches,,,C,,,,Confidential Local Motors,Hood latch,9111ZP,EA,1000,Kimball Midwest,,,,,,,,,,,
Door Latch  Bolt On,RFN-0A36-008,A,2.00,EA,,,Hinge/Latches,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Hood Saftey Sleeve,RFN-0PTB-058,A,2.00,EA,,,Hinges/Latches,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
"18-8 Stainless Steel Clevis Pin 3/8"" Diameter, 4"" Length, 3-3/4"" Usable Length  (Door Hinge Pin)",92390a293,A,4.00,EA,,,Hinge/Latches,,,,,,,McMaster-Carr,"18-8 Stainless Steel Clevis Pin 3/8"" Diameter, 4"" Length, 3-3/4"" Usable Length  (Door Hinge)
Bow Tie Cotter Pin 3/4"" Clevis Pin Dia, .120"" Wire Diameter, packs 25",92390a293,EA,1,,,,,,,,,,,,
"Bow Tie Cotter Pin 1/4""-5/16"" Clevis Pin Dia, .072"" Wire Diameter",92418A225,A,4.00,EA,,,Hinge/Latches,,,,,,,McMaster-Carr,"Bow Tie Cotter Pin 1/4""-5/16"" Clevis Pin Dia, .072"" Wire Diameter",92418A225,EA,50,,,,,,,,,,,,
Honda Door Lock With Key/Set (92-95),EP05B0404T,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Confidential Local Motors,Honda Door Lock With Key/Set,EP05B0404T,EA,50,,,,,,,,,,,,
06+ Honda Civic Latch Front RH  (Power),72110-SNA-A133,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Confidential Local Motors,06+ Honda Civic Latch Front RH,72110-SNA-A133,EA,1,,,,,,,,,,,,
06+ Honda Civic Latch Front LH   (Power),72150-SNA-A133,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Confidential Local Motors,06+ Honda Civic Latch Front LH,72150-SNA-A133,EA,1,,,,,,,,,,,,
Gas Strut w/sockets for hood,,01,1.00,EA,,,Hinge/Latches,,,,,,,Suspa,,,EA,,,,,,,,,,,,,
Gas Strut w/lock & sockets for hood ,,01,1.00,EA,,,Hinge/Latches,,,,,,,Suspa,,,EA,,,,,,,,,,,,,
Gas Strut w/sockets (trunk),,01,2.00,EA,,,Hinge/Latches,,,,,,,Suspa,,,EA,,,,,,,,,,,,,
Ball Stud for Gas Struts (Hood),,01,4.00,EA,,,Hinge/Latches,,,,,,,Suspa,,,EA,,,,,,,,,,,,,
"RHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",72140-SR0-A02,01,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,"RHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",72140-SR0-A02,EA,1,Pan Taiwan,"RHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",EP-HD3228S-FR,50,,,,,,,,
RH REAR DOOR HANDLE NO LOCK (Replaces front handle),72640-SR1-A01,01,1.00,EA,,Honda,Hinge/Latches,,,,,,,Tempe Honda,,,EA,1,,,,,,,,,,,,
"LHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",72180-SR0-A02,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,"LHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",72180-SR0-A02,EA,1,Pan Taiwan,"LHF Ext Door Handle (Honda Civic 92-95), (Pan Taiwan",EP-HD3228S-FL,50,,,,,,,,
  SUB (In Set)    RHF Door Lock w/key,72145-SR3-003,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,Prep,Tempe Honda,RHF Door Lock w/key,,EA,1,,,,,,,,,,,,
SUB (In Set)   LHF Door Lock w/key,72146-SR3-003,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,Prep,Tempe Honda,LHF Door Lock w/key,,EA,1,,,,,,,,,,,,
RHF Int Door Handle w/included Lock,72120-SNE-A22ZA,01,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,RHF Int Door Handle w/included Lock,72120-SNE-A22ZA,EA,1,Pan Taiwan,RHF Int Door Handle w/included Lock,EP-HD2237SA-FR,50,,,,,,,,
LHF Int Door Handle w/included Lock,72160-SNE-A22ZA,01,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,LHF Int Door Handle w/included Lock,72160-SNE-A22ZA,EA,1,Pan Taiwan,LHF Int Door Handle w/included Lock,EP-HD2237SA-FL,50,,,,,,,,
Striker 06+ Honda Civic ,72135-sda-a01,A,2.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,Striker 06+ Honda Civic ,72135-sda-a01,EA,1,,,,,,,,,,,,
Latch Coupe non power,72110-sva-a02,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,06+ Honda Civic Latch Front RH,72110-sva-a02,EA,1,,,,,,,,,,,,
Latch Coupe non power,72150-sva-a02,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,06+ Honda Civic Latch Front LH,72150-sva-a02,EA,1,,,,,,,,,,,,
"Lock Cylinder (Coupe) 06+, RH",72145-sva-a01,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72145-sva-a01,EA,1,,,,,,,,,,,,
"Lock Cylinder (Coupe) 06+, LH",72185-sva-a01,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72185-sva-a01,EA,1,,,,,,,,,,,,
Lock cable clip,72123-sja-003,A,2.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72123-sja-003,EA,1,,,,,,,,,,,,
Interior door latch cable (Coupe),72131-sva-a01,A,2.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72131-sva-a01,EA,1,,,,,,,,,,,,
Interior door handle lock cable (Coupe),72133-sva-a01,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72133-sva-a01,EA,1,,,,,,,,,,,,
Interior door handle lock cable (Coupe),72173-sva-a01,A,1.00,EA,10.0,Honda,Hinge/Latches,,,,,,,Tempe Honda,,72173-sva-a01,EA,1,,,,,,,,,,,,
"LH Hood Hinge, C5 Corvette",10326221-LH,A,1.00,EA,4.0,GM,Hinge/Latches,B,2%,B,"$55,242",86%,,Thorobred,Hood Hinge,10326221-LH,EA,1,,,,,,,,,,,2.75,
"RH Hood Hinge, C5 Corvette",10326222-RH,A,1.00,EA,4.0,GM,Hinge/Latches,B,2%,B,"$55,561",87%,,Thorobred,Hood Hinge,10326222-RH,EA,1,,,,,,,,,,,2.75,
Zero Clearance Heat Barrier,04248-TCP-ZP,A,32.00,sq/ft,4.0,,Insulation ,A,7%,A,"$48,905",76%,prep,Koolmat,"1 Sheet Zero Clearance 42""x48"" Alum Diamond Print",,,40,,,,,,,,,,,,
"TEST   Nimbus G3 Material  (probably 16 sq ft, 1 sheet is 4'*4')",Nimbus G3 material Sheet,01,,sq/ft,10.0,,Insulation,,,B,,,,Nimbus,Nimbus G3 Material 4'x4' sheet,Nimbus G3 material Sheet,sq/ft,160,,,,,,,,,,,,
Second Skin Noise & Heat Insultion,Second-Skin,A,1.00,Gal,2.0,,Insulation ,,,,,,,Second Skin Audio,Second Skin Noise & Heat Insultion,Second-Skin,Gal,15,,,,,,,,,,,,
Cloth and Aluminum backed insulation,14120 (roll 48x72~24sqft),A,3.00,sq/ft,4.0,,Insulation,A,7%,C,"$63,466",99%,prep,Thermo-Tec Automotive Products,"48"" x 72"" 1-SIDED THERMO",14120 (roll 48x72~24sqft),,,,,,,,,,,,,,
